,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/30/13,san Clemente,CA,33.4,-117.6,1,
2,12/29/13,Houston,TX,29.8,-95.4,1,
3,12/26/13,Angangueo,MIC,19.6,-100.3,1,
4,12/25/13,Boerne,TX,29.8,-98.8,1,
5,12/22/13,Kerrville,TX,30,-99.1,1,
6,12/22/13,San AgustÃ­n Ahuehuetla,PUE,18.8,-98.2,1,
7,12/21/13,Houston,TX,29.8,-95.4,1,
8,12/21/13,Costa Mesa,CA,33.7,-117.9,1,
9,12/17/13,Katy,TX,29.8,-95.7,1,
10,12/16/13,Rosenberg,TX,29.5,-95.9,1,
11,12/15/13,new smyrna beach,FL,29,-81.1,1,
12,12/15/13,Kingwood,TX,30,-95.3,1,
13,12/13/13,Ellabell,GA,32.1,-81.5,1,
14,12/12/13,Santa Cruz,CA,37,-122.1,1,
15,12/11/13,Valrico,FL,27.9,-82.2,3,
16,12/10/13,Moreno Valley,CA,34,-117.2,1,
17,12/10/13,Mary Esther,FL,30.4,-86.8,1,
18,12/09/13,Ocala,FL,29.2,-82.1,1,
19,12/08/13,Tallahassee,FL,30.4,-84.3,1,
20,12/04/13,Rogers,TX,31,-97.2,1,
21,12/02/13,Salado,TX,30.9,-97.6,7,
22,12/02/13,Eagle Pass,TX,28.5,-100.5,2,
23,12/02/13,Austin,TX,30.2,-97.7,1,
24,12/02/13,Pasadena,CA,34.1,-118.2,1,
25,12/02/13,Salado,TX,30.9,-97.6,8,
26,12/02/13,Pattison,TX,29.8,-96,1,
27,12/01/13,Austin,TX,30.2,-97.7,1,
28,12/01/13,Long Beach,CA,33.8,-118.2,2,
29,12/01/13,Ruskin,FL,27.7,-82.5,1,
30,11/29/13,Salado,TX,30.9,-97.6,2,
31,11/29/13,Katy,TX,29.8,-95.7,1,
32,11/28/13,Austin,TX,30.2,-97.7,1,
33,11/27/13,Alamogordo,NM,32.8,-106.1,1,
34,11/27/13,Alamogordo,NM,32.8,-106.1,1,
35,11/25/13,Austin,TX,30.2,-97.7,1,
36,11/24/13,St George Island,FL,42.2,-84.4,3,
37,11/23/13,Half moon bay,CA,37.5,-122.4,1,
38,11/23/13,Inverness,FL,28.8,-82.3,3,
39,11/23/13,Long Beach,CA,33.8,-118.2,1,
40,11/22/13,Austin,TX,30.2,-97.7,12,
41,11/21/13,Austin,TX,30.2,-97.7,1,
42,11/21/13,austin,TX,30.2,-97.7,2,
43,11/20/13,Cutler Bay,FL,25.6,-80.3,5,
44,11/20/13,Horseshoe Bay,TX,30.5,-98.4,1,
45,11/19/13,Katy,TX,29.8,-95.7,2,
46,11/19/13,Salado,TX,30.9,-97.6,6,
47,11/19/13,Katy,TX,29.8,-95.7,5,
48,11/19/13,San Antonio,TX,29.5,-98.5,1,
49,11/18/13,Houston,TX,29.8,-95.4,1,
50,11/18/13,Groesbeck,TX,31.5,-96.6,1,
51,11/18/13,Salado,TX,30.9,-97.6,3,
52,11/18/13,Bryan,TX,30.6,-96.4,1,
53,11/18/13,Pattison,TX,29.8,-96,1,
54,11/18/13,Tarpley,TX,29.7,-99.4,2,
55,11/18/13,Austin,TX,30.2,-97.7,1,
56,11/17/13,Monterrey,NL,25.7,-100.3,10,
57,11/17/13,Pflugerville,TX,30.4,-97.6,4,
58,11/17/13,San Antonio,TX,29.5,-98.5,1,
59,11/16/13,willis,TX,30.4,-95.5,1,
60,11/16/13,Inverness,FL,28.8,-82.3,3,
61,11/15/13,Eagle Pass,TX,28.5,-100.5,2,
62,11/15/13,Spring,TX,30.1,-95.4,5,
63,11/14/13,Mary Esther,FL,30.4,-86.8,2,
64,11/14/13,Tarpley,TX,29.7,-99.4,1,
65,11/14/13,Center Point,TX,29.9,-99,1,
66,11/14/13,Tucson,AZ,32.2,-111,1,
67,11/13/13,Austin,TX,30.2,-97.7,1,
68,11/12/13,Nashville,TN,36.2,-86.8,1,
69,11/11/13,Allen,TX,33.1,-96.6,1,
70,11/11/13,Charleston,SC,32.8,-79.9,1,
71,11/11/13,Panama City Beach,FL,30.1,-85.5,1,
72,11/11/13,sunset valley,TX,30.2,-97.8,6,
73,11/11/13,Daytona beach,FL,29.2,-81.1,1,
74,11/11/13,king george,VA,38.3,-77.1,1,
75,11/11/13,Tarpley,TX,29.7,-99.4,3,
76,11/11/13,Driftwood,TX,30.1,-98,1,
77,11/10/13,Katy,TX,29.8,-95.7,3,
78,11/10/13,Jersey Village,TX,29.9,-95.6,1,
79,11/10/13,Chandler,AZ,33.3,-111.9,4,
80,11/10/13,Ellicott City,MD,39.3,-76.9,1,
81,11/10/13,Mary Esther,FL,30.4,-86.8,3,
82,11/10/13,Tarpley,TX,29.7,-99.4,3,
83,11/10/13,Los Alamos,NM,35.9,-106.3,1,
84,11/09/13,Houston,TX,29.8,-95.4,1,
85,11/09/13,Myrtle Beach,SC,33.8,-78.8,1,
86,11/09/13,Panama City Beach,FL,30.2,-85.8,1,
87,11/09/13,Ellicott City,MD,39.3,-76.9,1,
88,11/09/13,sunset valley,TX,30.2,-97.8,5,
89,11/09/13,Pflugerville,TX,30.4,-97.6,7,
90,11/08/13,West Hills,CA,34.2,-118.6,1,
91,11/08/13,monterrey,NL,25.7,-100.3,10,
92,11/08/13,Boerne,TX,29.8,-98.8,1,
93,11/08/13,Acworth,GA,34,-84.7,1,
94,11/08/13,Mary Esther,FL,30.4,-86.8,2,
95,11/07/13,Myrtle Beach,SC,33.8,-78.8,2,
96,11/07/13,Montgomery,AL,32.4,-86.3,6,
97,11/06/13,Ormond Beach,FL,29.3,-81.1,1,
98,11/06/13,Conway,SC,33.9,-79,1,
99,11/06/13,Ormond Beach,FL,29.3,-81.1,2,
100,11/06/13,Gause,TX,30.8,-96.7,1,
101,11/06/13,ridgeland,MS,32.4,-90.1,2,
102,11/06/13,Mount Pleasant,SC,32.8,-79.8,20,
103,11/06/13,willis,TX,30.4,-95.5,18,
104,11/06/13,Prosperity,SC,34.2,-81.5,1,
105,11/06/13,Freeport,TX,29,-95.3,10,
106,11/06/13,Myrtle Beach,SC,33.8,-78.8,2,
107,11/06/13,Zaragoza,SLP,22.2,-100.9,15,
108,11/05/13,Sugar Land,TX,29.6,-95.6,1,
109,11/05/13,lebanon,TN,36.3,-86.3,1,
110,11/05/13,Ailsa Craig,ON,43.1,-81.6,1,
111,11/05/13,Horseshoe Bay,TX,30.5,-98.4,1,
112,11/05/13,Boerne,TX,29.8,-98.8,1,
113,11/05/13,Cades Cove,TN,35.6,-83.8,1,
114,11/05/13,willis,TX,30.4,-95.5,12,
115,11/05/13,Jersey village,TX,29.9,-95.6,1,
116,11/05/13,Acworth,GA,34,-84.7,1,
117,11/05/13,Lexington,KY,38,-84.5,1,
118,11/04/13,Boston,MA,42.4,-71.1,1,
119,11/04/13,San antonio,TX,29.6,-98.4,2,
120,11/04/13,willis,TX,30.4,-95.5,5,
121,11/04/13,Cades Cove,TN,35.6,-83.8,2,
122,11/04/13,"Elizabethton,",TN,36.4,-82.1,1,
123,11/04/13,Aiken,SC,33.6,-81.7,1,
124,11/03/13,Maumelle,AR,34.9,-92.4,1,
125,11/03/13,Houston,TX,29.8,-95.4,1,
126,11/03/13,San Antonio,TX,29.5,-98.5,3,
127,11/03/13,Tarpley,TX,29.7,-99.4,38,
128,11/03/13,Spicewood,TX,30.4,-98.1,25,
129,11/02/13,Lexington,VA,37.8,-79.5,1,
130,11/02/13,San Antonio,TX,29.5,-98.5,1,
131,11/02/13,San Diego,CA,32.7,-117.2,4,
132,11/02/13,Santa Monica,CA,34,-118.5,6,
133,11/02/13,Friendswood,TX,29.5,-95.2,2,
134,11/02/13,Greenbackville,VA,38,-75.4,1,
135,11/02/13,Panama City Beach,FL,30.2,-85.8,1,
136,11/02/13,Joplin,MO,37.1,-94.5,1,
137,11/02/13,Roseland,VA,37.8,-79,1,
138,11/02/13,Baltimore,MD,39.3,-76.6,1,
139,11/02/13,Brandon,MS,32.3,-89.9,4,
140,11/02/13,Waynesboro,VA,38.1,-78.9,2,
141,11/02/13,Ridgeway,CO,38.2,-107.8,1,
142,11/02/13,Stanton,KY,37.8,-83.8,1,
143,11/02/13,Napa,CA,38.5,-122.3,4,
144,11/01/13,Cameron,TX,30.8,-97,2,
145,11/01/13,Buncombe,IL,37.5,-89,3,
146,11/01/13,Houston,TX,29.8,-95.4,4,
147,11/01/13,Stephenville,TX,32.2,-98.2,1,
148,11/01/13,McLean,VA,38.9,-77.2,1,
149,11/01/13,Franklin,LA,29.7,-91.6,1,
150,11/01/13,Louisville,TN,35.8,-84,3,
151,11/01/13,San Antonio,TX,29.5,-98.5,1,
152,11/01/13,Garland,TX,32.9,-96.6,2,
153,11/01/13,Corsicana,TX,32.1,-96.4,15,
154,11/01/13,Pittsboro,NC,35.8,-79.2,1,
155,11/01/13,Allen,TX,33.1,-96.6,4,
156,11/01/13,Oak hill,VA,38.9,-77.4,1,
157,11/01/13,Austin,TX,30.2,-97.7,1,
158,11/01/13,Austin,TX,30.2,-97.7,4,
159,11/01/13,Westfield,NJ,40.6,-74.3,1,
160,11/01/13,Chalk Mountain,TX,32.1,-97.9,1,
161,11/01/13,Vienna,VA,38.9,-77.3,1,
162,11/01/13,Monterrey,NL,25.7,-100.3,15,
163,11/01/13,San NicolÃ¡s de los Garza,NL,25.8,-100.3,3,
164,11/01/13,QuerÃ©taro,QUE,20.6,-100.4,2,
165,10/31/13,Deer Park,TX,29.7,-95.1,1,
166,10/31/13,Myrtle Beach,SC,33.8,-78.8,1,
167,10/31/13,Granbury,TX,32.4,-97.7,4,
168,10/31/13,Katy,TX,29.8,-95.7,1,
169,10/31/13,Panama City,FL,30.2,-85.6,2,
170,10/31/13,San Diego,CA,32.7,-117.2,5,
171,10/31/13,McKinney,TX,33.2,-96.6,1,
172,10/31/13,Sebastian,FL,27.8,-80.5,3,
173,10/31/13,willis,TX,30.4,-95.5,2,
174,10/31/13,Bluffton,SC,32.2,-80.9,1,
175,10/31/13,Waynesboro,VA,38.1,-78.9,4,
176,10/31/13,SPRING,TX,30.1,-95.4,4,
177,10/31/13,Chalk Mountain,TX,32.1,-97.9,3,
178,10/31/13,Monterrey,NL,25.7,-100.3,5,
179,10/30/13,Charleston,SC,32.8,-79.9,1,
180,10/30/13,Inverness,FL,28.8,-82.3,2,
181,10/30/13,Leesburg,VA,39.1,-77.6,1,
182,10/30/13,Franklin,TN,35.9,-86.9,1,
183,10/30/13,Damascus,MD,39.3,-77.2,5,
184,10/30/13,Deer Park,TX,29.7,-95.1,1,
185,10/30/13,Fort Payne,AL,34.4,-85.7,1,
186,10/30/13,Upper Marlboro,MD,38.8,-76.8,1,
187,10/30/13,Houston,TX,29.8,-95.4,1,
188,10/30/13,Wellsboro,PA,41.7,-77.4,1,
189,10/30/13,Statham,GA,34,-83.6,1,
190,10/30/13,Spicewood,TX,30.4,-98.1,15,
191,10/30/13,West Monroe,LA,32.5,-92.2,1,
192,10/30/13,Louisville,TN,35.8,-84,1,
193,10/30/13,Daniel Island,SC,32.9,-79.9,1,
194,10/30/13,Saltillo,COA,25.4,-101,4,
195,10/29/13,Katy,TX,29.8,-95.7,1,
196,10/29/13,New Braunfels,TX,29.7,-98.1,30,
197,10/29/13,Laredo,TX,27.5,-99.5,3,
198,10/29/13,Austin,TX,30.2,-97.7,1,
199,10/29/13,Woodstock,GA,34.1,-84.5,1,
200,10/29/13,San Antonio,TX,29.5,-98.5,2,
201,10/29/13,Pipe Creek,TX,29.7,-98.9,5,
202,10/29/13,San Angelo,TX,31.6,-100.5,4,
203,10/29/13,Mer Rouge,LA,32.8,-91.7,1,
204,10/29/13,Bluffton,SC,32.2,-80.9,1,
205,10/29/13,Saltillo,COA,25.4,-101,14,
206,10/29/13,London,ON,43,-81.2,1,
207,10/29/13,Newport,FL,30.2,-84.2,4,
208,10/28/13,columbia,MS,31.2,-89.8,2,
209,10/28/13,Baltimore,MD,39.3,-76.6,2,
210,10/28/13,Dover,DE,39.1,-75.5,1,
211,10/28/13,Austin,TX,30.2,-97.7,3,
212,10/28/13,Brenham,TX,30.2,-96.4,1,
213,10/28/13,San Antonio,TX,29.5,-98.5,2,
214,10/28/13,Garland,TX,32.9,-96.6,4,
215,10/28/13,cameron,TX,30.8,-97,1,
216,10/28/13,Loganville,GA,33.8,-83.9,1,
217,10/28/13,winston salem,NC,36.1,-80.2,1,
218,10/28/13,Santa Ana,CA,33.8,-117.9,5,
219,10/28/13,willis,TX,30.4,-95.5,4,
220,10/28/13,Arteaga,COA,25.4,-101.8,6,
221,10/27/13,Bloomfield,NM,36.9,-107.8,1,
222,10/27/13,Tarpley,TX,29.7,-99.4,3,
223,10/27/13,Mer Rouge,LA,32.8,-91.7,1,
224,10/27/13,Albuquerque,NM,35.1,-106.6,1,
225,10/27/13,Chattanooga,TN,35,-85.2,1,
226,10/27/13,"Robert Moses Beach, Babylon",NY,40.6,-73.3,1,
227,10/27/13,Pipe Creek,TX,29.7,-98.9,7,
228,10/27/13,Katy,TX,29.8,-95.7,4,
229,10/27/13,Jemez Springs,NM,35.8,-106.9,1,
230,10/27/13,Yorkville,OH,40.2,-80.7,1,
231,10/27/13,West LIberty,IA,41.6,-91.3,1,
232,10/27/13,Buzzard's Bay,MA,41.6,-70.8,3,
233,10/27/13,Rockport,TX,28.2,-97,5,
234,10/27/13,Estancia,NM,34.7,-106.2,1,
235,10/27/13,Arlington,TX,32.6,-97.2,30,
236,10/27/13,winston salem,NC,36.1,-80.2,2,
237,10/27/13,Fort Davis,TX,30.7,-103.9,1,
238,10/27/13,Paw Paw,MI,42.4,-85.7,1,
239,10/26/13,Saint Petersburg,FL,27.8,-82.7,2,
240,10/26/13,Fall Creek Falls,TN,35.7,-85.4,1,
241,10/26/13,Austin,TX,30.2,-97.7,1,
242,10/26/13,Smith Point,TX,29.5,-94.8,12,
243,10/26/13,West Monroe,LA,32.5,-92.2,1,
244,10/26/13,Driftwood,TX,30.1,-98,3,
245,10/26/13,Lago Vista,TX,30.5,-98,5,
246,10/26/13,Temecula,CA,33.5,-117.1,1,
247,10/26/13,Saltillo,COA,25.4,-101,7,
248,10/26/13,Saltillo,COA,25.4,-101,2,
249,10/26/13,Outer Banks,NC,35.6,-75.5,12,
250,10/26/13,Canyon Lake,TX,29.9,-98.3,20,
251,10/26/13,New Braunfels,TX,29.7,-98.2,4,
252,10/25/13,Mer Rouge,LA,32.8,-91.7,2,
253,10/25/13,San antonio,TX,29.6,-98.4,5,
254,10/25/13,safety harbor,FL,28,-82.7,1,
